               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.022754,           0.0086953,                   0,             0.98487,                   1,             0.99444,             0.79617,            0.011984,           0.0029705,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.018651,           0.0086695,                   0,             0.98461,                   1,             0.99486,             0.66624,             0.01434,           0.0029761,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026164,           0.0094493,                   0,                   1,             0.99791,               0.995,             0.77974,            0.011189,           0.0029985,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.021286,           0.0091118,                   0,             0.98441,                   1,             0.99486,              0.7737,            0.010687,           0.0030619,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.019284,            0.009843,                   0,             0.98512,                   1,             0.99472,             0.78918,            0.010077,           0.0030473,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.020853,           0.0088047,                   0,             0.98496,                   1,             0.99444,              0.8062,            0.010985,           0.0029191,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.018055,           0.0081788,                   0,             0.98487,                   1,             0.99401,             0.78591,            0.010628,           0.0029465,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.019387,           0.0092244,                   0,             0.98487,                   1,             0.99345,             0.79115,             0.01037,           0.0029039,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.016932,           0.0088165,                   0,             0.98522,                   1,             0.99049,             0.80812,            0.010186,           0.0029871,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.021218,           0.0088045,                   0,             0.98513,                   1,             0.99204,             0.78446,            0.010564,           0.0029304,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.020278,            0.008818,                   0,             0.98559,                   1,             0.99387,             0.81306,            0.010931,           0.0030556,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.027708,            0.008925,                   0,             0.98498,                   1,             0.99387,             0.78719,            0.010564,           0.0028983,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.020111,           0.0091249,                   0,             0.98509,                   1,             0.99472,             0.80231,            0.010365,           0.0028455,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.016777,           0.0088969,                   0,             0.98504,                   1,             0.99261,             0.79916,           0.0098438,           0.0028795,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.019091,           0.0088176,                   0,             0.98513,                   1,             0.99387,             0.80438,            0.010176,           0.0028997,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.020098,           0.0086848,                   0,             0.98497,                   1,             0.99401,             0.80952,           0.0097032,           0.0029227,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.016898,           0.0087317,                   0,             0.98495,                   1,             0.99472,             0.80761,             0.01008,           0.0028602,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.017463,           0.0088392,                   0,             0.98497,                   1,             0.99486,             0.79652,            0.010099,            0.002818,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.026506,           0.0088149,                   0,             0.98493,                   1,             0.99486,             0.81355,           0.0097277,           0.0028877,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.018864,            0.008245,                   0,             0.98492,                   1,             0.99486,              0.7885,            0.010565,           0.0029884,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.023861,           0.0087083,                   0,             0.98503,                   1,             0.99444,             0.77853,            0.010643,            0.002893,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.021475,           0.0087959,                   0,             0.98504,                   1,              0.9943,             0.79485,            0.010651,           0.0029648,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022657,           0.0083826,                   0,             0.98499,                   1,              0.9943,             0.80857,           0.0098278,           0.0028305,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.019015,           0.0086291,                   0,             0.98494,                   1,             0.99486,             0.80629,            0.010232,           0.0028399,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.013503,           0.0081877,                   0,             0.98486,                   1,             0.99486,             0.81834,             0.01029,           0.0028525,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.013771,           0.0076683,                   0,             0.98511,                   1,             0.99486,             0.83571,            0.010062,           0.0028527,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.023715,           0.0084667,                   0,             0.98543,                   1,             0.99486,             0.84572,             0.01012,           0.0028827,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.01384,           0.0085864,                   0,             0.98509,                   1,             0.99486,             0.84485,           0.0097795,           0.0028527,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.017235,           0.0079653,                   0,             0.98517,                   1,             0.99486,             0.84029,           0.0098268,           0.0027317,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.026999,           0.0087679,                   0,             0.98512,                   1,             0.99486,             0.82937,           0.0099585,           0.0026989,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.022203,            0.008314,                   0,             0.98488,                   1,             0.99486,              0.8327,           0.0096662,           0.0026798,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.016835,           0.0085981,                   0,             0.98509,                   1,             0.99486,              0.8219,           0.0095272,           0.0026892,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.015087,           0.0081691,                   0,             0.98491,                   1,             0.99486,             0.80972,           0.0097265,           0.0027062,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.018166,            0.008448,                   0,             0.98491,                   1,             0.99486,             0.83108,           0.0093572,           0.0027125,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.015982,           0.0080022,                   0,             0.98491,                   1,             0.99486,             0.82367,           0.0093082,           0.0027054,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.016525,           0.0084942,                   0,             0.98531,                   1,             0.99472,             0.82925,           0.0094556,           0.0026561,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.020176,           0.0081118,                   0,             0.98529,                   1,             0.99444,             0.82845,           0.0096402,           0.0026319,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.015404,           0.0076975,                   0,             0.98554,                   1,             0.99486,             0.82163,           0.0094847,           0.0026234,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.01434,           0.0079336,                   0,             0.98531,                   1,             0.99486,             0.83134,           0.0090657,           0.0026817,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.018448,           0.0079565,                   0,             0.98528,                   1,             0.99486,              0.8402,           0.0090685,           0.0026965,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.015412,           0.0083031,                   0,              0.9851,                   1,             0.99486,             0.83864,           0.0092207,           0.0027452,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.015946,           0.0081391,                   0,             0.98519,                   1,             0.99486,             0.83264,           0.0090154,            0.002744,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.016438,           0.0081108,                   0,             0.98511,                   1,             0.99486,             0.82665,            0.009332,           0.0027652,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.015095,           0.0084823,                   0,             0.98495,                   1,             0.99486,             0.82053,            0.009228,           0.0027898,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.018818,           0.0077082,                   0,             0.98488,                   1,             0.99486,             0.82851,           0.0093827,            0.002921,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.013651,           0.0076871,                   0,             0.98481,                   1,             0.99486,             0.83538,           0.0094731,           0.0027736,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.015713,           0.0072735,                   0,             0.98567,                   1,               0.995,             0.83775,           0.0092506,           0.0027378,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.015172,           0.0082043,                   0,             0.98545,                   1,               0.995,             0.83259,           0.0090283,           0.0027537,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.018318,           0.0081319,                   0,             0.98581,                   1,               0.995,             0.82924,           0.0089393,           0.0026973,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.015723,           0.0080389,                   0,             0.98539,                   1,               0.995,             0.83574,           0.0089333,              0.0027,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.014397,           0.0077598,                   0,             0.98497,                   1,             0.99472,             0.82948,           0.0089598,           0.0027521,                   0,            0.001288,            0.001288,            0.001288
